spelling_accuracy,gramatical_accuracy, percentage_of_corrections,percentage_of_phonetic_accuraccy,presence_of_dyslexia
90,98.13084112,13.04347826,92.02539119,1
92.68292683,99.375,16.21621622,95.26426435,1
50,50,0,61.45454545,1
90.60402685,99.31271478,13.55932203,93.84629683,1
92.75362319,97.05882353,13.33333333,94.56969697,1
92.81767956,99.43820225,23.52941176,96.52344616,1
93.83561644,99.53271028,10.46511628,95.65058751,1
94.3231441,99.70588235,11.42857143,96.25353069,1
95.50561798,99.62192817,22.91666667,97.63834731,1
87.89473684,99.46808511,39.53488372,92.41723732,1
94.23076923,99.01960784,23.07692308,96.33176883,1
95,99.24242424,25.45454545,98.42324132,1
94.31137725,99.4011976,14.28571429,97.87028948,1
88.75,98.66666667,21.05263158,92.37687264,1
92.30769231,99.43181818,12.5,93.96393281,1
93.62068966,99.65095986,14.03508772,95.99220882,1
91.72259508,99.77324263,11.81818182,94.66024021,1
95.8974359,99.65517241,9.756097561,97.34265548,1
88.23529412,98.75,9.523809524,90.91908092,1
94.06779661,99.71346705,9.523809524,94.50889475,1
90.24390244,99.64664311,31.48148148,93.01702166,1
88.21656051,99.83443709,7.079646018,91.96887513,1
91.24087591,99.61977186,16.66666667,93.42366877,1
92.26713533,99.82014388,13.26530612,94.76221092,1
95.65217391,98.75,12.19512195,96.78138109,1
92.75362319,99.27536232,3.03030303,94.83077817,1
93.26923077,99.02912621,0,94.61868687,1
96.14035088,99.64539007,9.433962264,96.90195858,1
97.71689498,99.08256881,9.090909091,98.83715602,1
94.55252918,99.20318725,10.41666667,96.30986853,1
90.26845638,99.66442953,17.74193548,94.74116896,1
91.62011173,98.85057471,23.52941176,92.73731477,1
88.67924528,98.7012987,10,91.56758444,1
91.25364431,99.70588235,15.15151515,93.87020462,1
95.31914894,99.56896552,15,96.95435135,1
86.73218673,99.75,1.492537313,88.91532154,1
88.05031447,99.35483871,12.90322581,90.1963302,1
87,99.49494949,4.444444444,90.52703554,1
91.04938272,99.37304075,19.73684211,92.96267833,1
87.13826367,99.6763754,13.33333333,92.37984889,1
89.30481283,99.72299169,10.84337349,93.2126056,1
93.88646288,99.55555556,4.166666667,95.79591612,1
97.38903394,99.47506562,11.42857143,97.99019344,1
94.16909621,99.70544919,15.2173913,96.03603153,1
92.15686275,99.32432432,8.571428571,95.35148372,1
94.15204678,98.80239521,6.451612903,96.27858388,1
97.19626168,99.06542056,6.976744186,97.77077574,1
90.10989011,99.43181818,18.60465116,93.05841167,1
86.84210526,98.66666667,6.25,91.60727559,1
97.87234043,99.64157706,2,98.44385381,1
99.51100244,99.75550122,7.462686567,99.75893681,0
98.37662338,99.6742671,1.587301587,99.00289203,0
96.66666667,99.51923077,0,97.87847292,0
98.32869081,99.72067039,3.947368421,98.7451541,0
98.01699717,99.43181818,6.329113924,98.64903191,0
98.48812095,99.56896552,8.108108108,98.67930201,0
97.52808989,99.54751131,8.571428571,98.45662807,0
98.82629108,99.53051643,1.492537313,99.3410454,0
97.99107143,99.54954955,6.756756757,98.08031592,0
98.47826087,99.78118162,1.428571429,98.6170123,0
98.19277108,99.6969697,5.882352941,98.45994011,0
98.36512262,99.45205479,2.857142857,98.81673194,0
98.4939759,99.6978852,4.347826087,98.91122236,0
98.36512262,99.45205479,2.816901408,98.82768012,0
98.91598916,99.72899729,1.428571429,98.99504363,0
99.6835443,99.36708861,5.084745763,99.71479862,0
99.6350365,99.27007299,4.347826087,99.71973555,0
99.12280702,99.12663755,4.545454545,99.40719941,0
98.35164835,99.44751381,4.347826087,98.80551498,0
98.25072886,99.70501475,5.263157895,98.67666124,0
98.30985915,99.71751412,8.235294118,99.24739675,0
99.71590909,99.43181818,10,99.75536595,0
99.07621247,99.76851852,6.666666667,99.59191919,0
98.48942598,99.39209726,6.944444444,98.42367669,0
99.71509972,99.43019943,8.695652174,99.74360389,0
98.7394958,99.57894737,8.910891089,99.22720942,0
97.87985866,99.29078014,13.1147541,98.50783227,0
97.76536313,99.43661972,8.695652174,98.79948502,0
98.71794872,99.78494624,13.79310345,99.07392812,0
96.80232558,99.41520468,9.836065574,97.33906848,0
97.80564263,99.37304075,10.9375,98.59132912,0
98.7804878,99.3883792,8.064516129,98.76234479,0
97.18670077,99.48979592,11.39240506,98.50838252,0
98.26086957,99.65156794,6.603773585,98.50742561,0
97.14285714,99.76076555,6.741573034,97.91619138,0
99.42196532,99.71014493,2.857142857,99.64754334,0
98.98648649,99.31972789,8.771929825,99.02887354,0
97.65395894,99.70674487,8.450704225,97.97058659,0
99.00744417,99.50372208,6.849315068,99.26757233,0
99.15966387,99.72067039,8.108108108,99.25894424,0
98.25918762,99.8065764,5.263157895,98.91297235,0
98.98989899,99.32659933,8.064516129,99.64487553,0
97.89156627,99.39577039,3.076923077,98.42874073,0
98.08743169,99.72451791,7.692307692,98.91831132,0
99.36440678,99.57537155,5.952380952,99.48807576,0
99.18032787,99.45054945,6.451612903,99.21555547,0
98.65470852,99.7752809,12.5,99.35801768,0
99.22879177,99.48453608,10.95890411,99.25721326,0
96.61016949,99.71509972,13.43283582,97.64630983,0
97.96511628,99.41690962,6.25,97.79992417,0
